Cuisine Type,Name,Address,Website
Mexican,Estela's Mill Stop Cafe,"317 Baystate Ave, Pueblo, CO 81004, USA",
Mexican,Mi Ranchito Restaurant 2,"525 S Pueblo Blvd, Pueblo, CO 81005, USA",
Mexican,Cactus Flower Mexican Restaurant & Cantina,"4610 N Elizabeth St, Pueblo, CO 81008, USA",https://www.cactusflowerrestaurant.com/
Mexican,Restaurant 8A,"2648 Santa Fe Dr, Pueblo, CO 81006, USA",
Mexican,3 Margaritas Pueblo,"3620 N Fwy Rd, Pueblo, CO 81008, USA",https://www.3margspueblo.com/
Mexican,Alberto's Tacos,"2450 Santa Fe Dr, Pueblo, CO 81006, USA",
Mexican,Liz's Tamale House,"1243 Eilers Ave, Pueblo, CO 81006, USA",http://restaurantwebexpert.com/LizsTamaleHouse/
Mexican,Mi Ranchito Mexican Restaurant “The Original”,"24500 E US Hwy 50, Pueblo, CO 81006, USA",https://m.facebook.com/miranchitotheoriginal/
Mexican,Rita's Mexican Food,"302 N Grand Ave, Pueblo, CO 81003, USA",
Mexican,3 Margaritas Pueblo West,"177 S Purcell Blvd, Pueblo, CO 81007, USA",http://3margaritaspueblowest.com/
Mexican,Tortilleria Delicias,"926 S Santa Fe Ave, Pueblo, CO 81006, USA",http://ordertortilleriadelicias.com/
Mexican,Sonora's Meat Market and Restaurant,"1334 E 21st St, Pueblo, CO 81001, USA",https://sonorasprimemeat.com/
Mexican,El Nopal Restaurant,"1435 E Evans Ave, Pueblo, CO 81004, USA",http://puebloelnopal.com/
Mexican,El Charro,"2042 E Evans Ave, Pueblo, CO 81004, USA",
Mexican,Tacos Navarro,"217 E Northern Ave #223, Pueblo, CO 81006, USA",http://restaurantwebexpert.com/TacosNavarro/
Mexican,Beer Barrel,"2113 E Evans Ave, Pueblo, CO 81004, USA",
Mexican,Taqueria Marquez,"710 E 4th St, Pueblo, CO 81001, USA",
Mexican,Los Girasoles Mexican Restaurant,"2920 Hart Rd, Pueblo, CO 81008, USA",https://order.online/business/los-girasoles-mexican-food-11591126
Mexican,Tacos Fuego,"1305 E Routt Ave, Pueblo, CO 81004, USA",https://www.tacos-fuego.com/
Mexican,Sonora's Meat Market & Restaurant,"1327 S Prairie Ave, Pueblo, CO 81005, USA",https://sonorasprimemeat.com/
Swedish,Pass Key Restaurant,"1901 W US-50, Pueblo, CO 81008, USA",http://www.passkeyrestaurant.com/
Swedish,Olive Garden Italian Restaurant,"3240 N Elizabeth St, Pueblo, CO 81008, USA",https://www.olivegarden.com/locations/co/pueblo/pueblo/1708?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:pueblo-co-1708_pl:locurl_rd:1556
Swedish,Pass Key Pueblo West Restaurant,"82 S Radnor Dr, Pueblo West, CO 81007, USA",http://www.passkeypw.com/
Swedish,Shamrock Brewing Co,"108 W 3rd St, Pueblo, CO 81003, USA",http://www.shamrockbrewing.com/
Swedish,Estela's Mill Stop Cafe,"317 Baystate Ave, Pueblo, CO 81004, USA",
Swedish,BISTORO,"109 Central Plaza, Pueblo, CO 81003, USA",http://bistoro.us/
Swedish,Giodone's Italian Bar & Grill,"23344 US-50 BUS, Pueblo, CO 81006, USA",
Swedish,Diavolo Pueblo Hot Chicken,"400 S Union Ave, Pueblo, CO 81003, USA",http://www.diavolopueblo.com/
Swedish,IHOP,"4701 N Fwy Rd, Pueblo, CO 81008, USA",https://restaurants.ihop.com/en-us/co/pueblo/breakfast-4701-n-frwy-rd-1822?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=1822&utm_content=website
Swedish,Pass Key Northern,"3416 W Northern Ave, Pueblo, CO 81005, USA",http://passkeyrestaurant.com/
Swedish,B Street Cafe,"121 W B St, Pueblo, CO 81003, USA",http://restaurantwebexpert.com/BStreetCafe/
Swedish,La Tronica's,"1143 E Abriendo Ave, Pueblo, CO 81004, USA",
Swedish,Magpies,"229 S Union Ave, Pueblo, CO 81003, USA",http://magpiespueblo.com/
Swedish,D C's On B Street,"115 W B St, Pueblo, CO 81003, USA",http://dcsonbstreet.com/
Swedish,IHOP,"2015 S Pueblo Blvd, Pueblo, CO 81005, USA",https://restaurants.ihop.com/en-us/co/pueblo/breakfast-2015-s-pueblo-blvd-1826?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=1826&utm_content=website
Swedish,Southwest Deli and Cafe,"On the South Side, Next Door to Starbucks, 1873 S Pueblo Blvd, Pueblo, CO 81005, USA",https://www.swdelicafe.com/
Swedish,La Forchetta da Massi,"126 S Union Ave, Pueblo, CO 81003, USA",http://laforchettadamassi.com/
Swedish,Pantry Restaurant,"107 1/2 E Abriendo Ave, Pueblo, CO 81004, USA",
Swedish,Hen house cafe,"53 E Palmer Lake Dr, Pueblo West, CO 81007, USA",
Swedish,Mauro’s Restaurant,"2104 N Norwood Ave, Pueblo, CO 81001, USA",
Latvian,Pass Key Restaurant,"1901 W US-50, Pueblo, CO 81008, USA",http://www.passkeyrestaurant.com/
Latvian,BISTORO,"109 Central Plaza, Pueblo, CO 81003, USA",http://bistoro.us/
Latvian,La Forchetta da Massi,"126 S Union Ave, Pueblo, CO 81003, USA",http://laforchettadamassi.com/
Latvian,La Tronica's,"1143 E Abriendo Ave, Pueblo, CO 81004, USA",
Latvian,Sushi Garden,"3915 Ivywood Ln, Pueblo, CO 81005, USA",http://sushigarden.t3pueblo.com/index.php/home/
Latvian,El Pampano Foods,"430 S Santa Fe Ave, Pueblo, CO 81003, USA",https://www.facebook.com/Pampanotogo
Latvian,Mauro’s Restaurant,"2104 N Norwood Ave, Pueblo, CO 81001, USA",
Latvian,Tocayo | Mexican Grill & Cantina,"283 S Joe Martinez Blvd, Pueblo, CO 81007, USA",http://tocayomexco.com/
Latvian,Rita's Mexican Food,"302 N Grand Ave, Pueblo, CO 81003, USA",
Latvian,El Pampano Foods,"1027 S Pueblo Blvd, Pueblo, CO 81005, USA",https://www.facebook.com/Pampanofoods/
Latvian,JULIANS Mexican Restaurant,"2111 W Northern Ave, Pueblo, CO 81004, USA",
Latvian,El Charro,"2042 E Evans Ave, Pueblo, CO 81004, USA",
Latvian,La Sierrita Mexican Grill,"1200 E Evans Ave, Pueblo, CO 81004, USA",https://lasierritamexicangrillco.com/
Latvian,Juanita’s Burritos 719,"4107 W Northern Ave, Pueblo, CO 81005, USA",http://juanitasburritos.com/
Italian,La Forchetta da Massi,"126 S Union Ave, Pueblo, CO 81003, USA",http://laforchettadamassi.com/
Italian,Pass Key Restaurant,"1901 W US-50, Pueblo, CO 81008, USA",http://www.passkeyrestaurant.com/
Italian,Rosario's Italian Bistro,"1110 US-50 west, Pueblo, CO 81008, USA",http://rosariospueblo.weebly.com/
Italian,Pasta Cottage,"1525 E Evans Ave, Pueblo, CO 81004, USA",
Italian,La Tronica's,"1143 E Abriendo Ave, Pueblo, CO 81004, USA",
Italian,Bella Pasta & Seafood,"332 S McCulloch Blvd West, Pueblo West, CO 81007, USA",https://www.bellapastaandseafood.com/
Italian,Giodone's Italian Bar & Grill,"23344 US-50 BUS, Pueblo, CO 81006, USA",
Italian,Angelo's Pizza Parlor,"105 E Riverwalk, Pueblo, CO 81003, USA",https://www.angelospizzapie.com/
Italian,Joe Tomato Italian Market and Deli,"707 S Main St, Pueblo, CO 81004, USA",https://www.facebook.com/JoeTomato/
Italian,Do Drop Inn,"1201 S Santa Fe Ave, Pueblo, CO 81006, USA",http://www.dodropinnpueblo.com/
Italian,Musso's Restaurant,"35250 E US Hwy 50, Pueblo, CO 81006, USA",
Italian,Olive Garden Italian Restaurant,"3240 N Elizabeth St, Pueblo, CO 81008, USA",https://www.olivegarden.com/locations/co/pueblo/pueblo/1708?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:pueblo-co-1708_pl:locurl_rd:1556
Italian,Fazoli's,"1631 US-50, Pueblo, CO 81008, USA",https://locations.fazolis.com/co/pueblo/1631-w-us-highway-50.html?utm_source=yext+GMB&utm_medium=local&utm_campaign=website&y_source=1_MzExNjk3Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
