Cuisine Type,Name,Address,Website
Mexican,La Catrina Mexican Grill,"449 San Benito St, Hollister, CA 95023, USA",http://catrinagrill.com/
Mexican,El Michoacano Restaurant,"1296 San Juan Hollister Rd, Hollister, CA 95023, USA",https://elmichoacanorestaurantca.com/
Mexican,Las Micheladas Bar & Grill,"427 San Benito St, Hollister, CA 95023, USA",
Mexican,Los Grullenses Restaurant,"1270 San Juan Hollister Rd C, Hollister, CA 95023, USA",https://losgrullensesrestaurantca.com/
Mexican,El Rinconcito Authentic Mexican Food,"191 San Felipe Rd ste g, Hollister, CA 95023, USA",http://el-rinconcito-hollister.lany.io/
Mexican,El Epazote Restaurant,"35 5th St suite A, Hollister, CA 95023, USA",https://www.facebook.com/ElEpazoteRestaurant/
Mexican,El Grullense Jal,"900 4th St, Hollister, CA 95023, USA",
Mexican,Mariscos La Ceiba Hollister,"710 San Benito St Suite B, Hollister, CA 95023, USA",
Mexican,Yeye's Bar and Grill,"204 4th St, Hollister, CA 95023, USA",
Mexican,Super Taqueria,"460 Tres Pinos Rd, Hollister, CA 95023, USA",
Mexican,3 Queens Carnitas,"49 Hawkins St, Hollister, CA 95023, USA",
Mexican,El Grullense Jal,"1709 Airline Hwy E, Hollister, CA 95023, USA",
Mexican,Tj's Tacos & Birria,"710 San Benito St Suite B, Hollister, CA 95023, USA",
Mexican,Taco Bell,"431 Tres Pinos Rd, Hollister, CA 95023, USA",https://locations.tacobell.com/ca/hollister/431-tres-pinos-rd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=024362&utm_content=website&y_source=1_NjE0MzU2MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Metro Balderas Taqueria #3,"601 McCray St Suite #103, Hollister, CA 95023, USA",http://metrobalderastaquerias.com/
Mexican,La Villa de Jerez Restaurant,"905 East St, Hollister, CA 95023, USA",
Mexican,Jardines de San Juan Restaurant & Event Venue,"115 Third St, San Juan Bautista, CA 95045, USA",http://www.jardinesrestaurant.com/
Mexican,Buenos Dias Cafecito,"512 San Benito St, Hollister, CA 95023, USA",https://buenosdiascafecito.godaddysites.com/
Mexican,Taco Bell,"40 San Felipe Rd, Hollister, CA 95023, USA",https://locations.tacobell.com/ca/hollister/40-san-felipe-road.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=020961&utm_content=website&y_source=1_NjE0Mzc4Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Baja fish Tacos,"321 San Felipe Rd, Hollister, CA 95023, USA",
Swedish,Seabrisa's Eatery,"155 Skylane Dr, Hollister, CA 95023, USA",
Latvian,La Villa de Jerez Restaurant,"905 East St, Hollister, CA 95023, USA",
Italian,CAPO SIGNORA ITALIAN CUISINE,"1709 Airline Hwy A, Hollister, CA 95023, USA",https://www.caposignoraitalian.com/
Italian,Paine's Restaurant,"421 East St, Hollister, CA 95023, USA",https://www.paineshollister.com/
Italian,Round Table Pizza,"496 Tres Pinos Rd, Hollister, CA 95023, USA",https://ordering.roundtablepizza.com/site/rthollister
Italian,Victoria's Deli and Catering,"1745 San Felipe Rd # 5, Hollister, CA 95023, USA",
Spanish,Mariscos La Ceiba Hollister,"710 San Benito St Suite B, Hollister, CA 95023, USA",
Spanish,El Michoacano Restaurant,"1296 San Juan Hollister Rd, Hollister, CA 95023, USA",https://elmichoacanorestaurantca.com/
Spanish,Las Micheladas Bar & Grill,"427 San Benito St, Hollister, CA 95023, USA",
Spanish,El Rinconcito Authentic Mexican Food,"191 San Felipe Rd ste g, Hollister, CA 95023, USA",http://el-rinconcito-hollister.lany.io/
Spanish,El Epazote Restaurant,"35 5th St suite A, Hollister, CA 95023, USA",https://www.facebook.com/ElEpazoteRestaurant/
Spanish,La Catrina Mexican Grill,"449 San Benito St, Hollister, CA 95023, USA",http://catrinagrill.com/
Spanish,La Villa de Jerez Restaurant,"905 East St, Hollister, CA 95023, USA",
Spanish,El Grullense Jal,"900 4th St, Hollister, CA 95023, USA",
Spanish,Los Grullenses Restaurant,"1270 San Juan Hollister Rd C, Hollister, CA 95023, USA",https://losgrullensesrestaurantca.com/
Spanish,3 Queens Carnitas,"49 Hawkins St, Hollister, CA 95023, USA",
Spanish,Buenos Dias Cafecito,"512 San Benito St, Hollister, CA 95023, USA",https://buenosdiascafecito.godaddysites.com/
Spanish,Super Taqueria,"460 Tres Pinos Rd, Hollister, CA 95023, USA",
Spanish,Jardines de San Juan Restaurant & Event Venue,"115 Third St, San Juan Bautista, CA 95045, USA",http://www.jardinesrestaurant.com/
Spanish,Taqueria El Milagro,"507 4th St, San Juan Bautista, CA 95045, USA",
Spanish,Metro Balderas Taqueria #3,"601 McCray St Suite #103, Hollister, CA 95023, USA",http://metrobalderastaquerias.com/
Spanish,El Grullense Jal,"1709 Airline Hwy E, Hollister, CA 95023, USA",
Spanish,Seabrisa's Eatery,"155 Skylane Dr, Hollister, CA 95023, USA",
Spanish,Tj's Tacos & Birria,"710 San Benito St Suite B, Hollister, CA 95023, USA",
Spanish,Casa de Fruta Restaurant,"10021 Pacheco Pass Hwy, Hollister, CA 95023, USA",https://www.casadefruta.com/visit/restaurant.php
Spanish,Doña Esther's Mexican Restaurant,"25 Franklin St, San Juan Bautista, CA 95045, USA",https://www.donaesthers.com/
American,The Baler Steakhouse,"500 San Benito St, Hollister, CA 95023, USA",http://thebalersteakhouse.com/
American,Running Rooster,"800 San Benito St, Hollister, CA 95023, USA",http://www.runningrooster.com/
American,Paine's Restaurant,"421 East St, Hollister, CA 95023, USA",https://www.paineshollister.com/
American,Johnny's Bar & Grill,"526 San Benito St, Hollister, CA 95023, USA",http://www.johnnysbarandgrill.com/
American,Grillin & Chillin Alehouse,"401 McCray St b24, Hollister, CA 95023, USA",http://www.831beer.com/
American,Seabrisa's Eatery,"155 Skylane Dr, Hollister, CA 95023, USA",
American,Burger Factory,"125 San Benito St, Hollister, CA 95023, USA",
American,A&W Restaurant,"203 South St, Hollister, CA 95023, USA",https://awrestaurants.com/locations/california/hollister/203-south-street/
American,Smashburger,"1210 E Park St #101, Hollister, CA 95023, USA",https://smashburger.com/locations/us/ca/hollister/1210-e-park-st?utm_source=SEO_Local&utm_medium=GMB&utm_campaign=SEO_CA&utm_content=SEO_Hollister&utm_term=1719
American,Jack in the Box,"391 McCray St, Hollister, CA 95023, USA",https://locations.jackinthebox.com/us/ca/hollister/391-mccray-st?utm_source=google&utm_medium=local&utm_campaign=google-local
American,Country Rose Café,"756 San Benito St, Hollister, CA 95023, USA",http://countryrose.cafe/
American,Harvest Time ROADHOUSE,"3650 San Juan Hollister Rd, Hollister, CA 95023, USA",https://harvesttimeroadhou.wixsite.com/htroadhouse
American,Las Micheladas Bar & Grill,"427 San Benito St, Hollister, CA 95023, USA",
American,Cheung Sheng Chinese Restaurant,"730 San Benito St ste a, Hollister, CA 95023, USA",https://order.online/business/cheung-sheng-chinese-restaurant-12686311
American,Fosters Freeze,"441 Tres Pinos Rd, Hollister, CA 95023, USA",http://www.fostersfreeze.com/
American,San Juan Oaks Restaurant,"3825 Union Rd, Hollister, CA 95023, USA",
American,Taco Bell,"431 Tres Pinos Rd, Hollister, CA 95023, USA",https://locations.tacobell.com/ca/hollister/431-tres-pinos-rd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=024362&utm_content=website&y_source=1_NjE0MzU2MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
American,Los Grullenses Restaurant,"1270 San Juan Hollister Rd C, Hollister, CA 95023, USA",https://losgrullensesrestaurantca.com/
American,McDonald's,"151 San Felipe Rd, Hollister, CA 95023, USA",https://www.mcdonalds.com/us/en-us/location/CA/HOLLISTER/151-SAN-FELIPE-RD/5660.html?cid=RF:YXT:GMB::Clicks
American,La Catrina Mexican Grill,"449 San Benito St, Hollister, CA 95023, USA",http://catrinagrill.com/
Scottish,Seabrisa's Eatery,"155 Skylane Dr, Hollister, CA 95023, USA",
British,The Baler Steakhouse,"500 San Benito St, Hollister, CA 95023, USA",http://thebalersteakhouse.com/
British,Johnny's Bar & Grill,"526 San Benito St, Hollister, CA 95023, USA",http://www.johnnysbarandgrill.com/
British,Country Rose Café,"756 San Benito St, Hollister, CA 95023, USA",http://countryrose.cafe/
British,Paine's Restaurant,"421 East St, Hollister, CA 95023, USA",https://www.paineshollister.com/
British,The Crown & Anchor,"150 W Franklin St, Monterey, CA 93940, USA",http://www.crownandanchor.net/
British,Running Rooster,"800 San Benito St, Hollister, CA 95023, USA",http://www.runningrooster.com/
