Cuisine Type,Name,Address,Website
Mexican,Cancun Mexican Grill & Bar,"732 Dolly Parton Pkwy, Sevierville, TN 37862, USA",
Mexican,El Paso Mexican Restaurant,"560 Winfield Dunn Pkwy #9, Sevierville, TN 37876, USA",https://elpasomexican.net/menus/
Mexican,La Carreta Mexican Restaurant,"241 Forks of the River Pkwy, Sevierville, TN 37862, USA",http://lacarretatn.com/
Mexican,El Machete Mexican Bar and Grill,"1989 Winfield Dunn Pkwy, Sevierville, TN 37876, USA",
Mexican,Tequila Spice Mexican Grill & Cantina,"360 Forks of the River Pkwy, Sevierville, TN 37862, USA",http://www.tequilaspice.com/
Mexican,Cielito Lindo,"3965 Parkway, Pigeon Forge, TN 37863, USA",https://cielitolindomexicangrillpf.com/
Mexican,El Eslabon Mexican Bar & Grill,"712 Parkway, Sevierville, TN 37862, USA",https://www.eleslabonmexican.com/
Mexican,El Primo Products Hispanos,"116 Cate Rd, Sevierville, TN 37862, USA",
Mexican,El Ranchero Loco,"2902 Veterans Blvd #5, Pigeon Forge, TN 37863, USA",
Mexican,Comida Hondureña Juanita,"619 Eastgate Rd, Sevierville, TN 37862, USA",https://juanitacomidahondurena.com/
Mexican,SMOKY MOUNTAIN BURRITOS MEXICAN GRILL,"2250 Parkway, Pigeon Forge, TN 37863, USA",https://www.smokymtnburritos.com/
Mexican,Chipotle Mexican Grill,"1713 Parkway, Sevierville, TN 37862, USA",https://locations.chipotle.com/tn/sevierville/1713-parkway?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Pollo Loco,"1732 Newport Hwy, Sevierville, TN 37876, USA",https://pollolocomexicanrestaurant.com/
Mexican,Azul Cantina,"2655 Teaster Ln Suite 305, Pigeon Forge, TN 37863, USA",https://www.azulmexicancantina.com/
Mexican,Taqueria Macho Taco,"3209 Wears Valley Rd Suite B, Sevierville, TN 37862, USA",
Mexican,La Patrona Mexican Restaurant,"2487 Boyds Creek Hwy, Sevierville, TN 37876, USA",
Mexican,No Way Jose's Cantina,"104 Waldens Main St, Pigeon Forge, TN 37863, USA",https://nowayjosescantina.com/
Mexican,Taqueria Catracho,"1223 Ridge Rd, Sevierville, TN 37862, USA",
Mexican,No Way Jose’s Mexican Cantina,"555 Parkway, Gatlinburg, TN 37738, USA",https://nowayjosescantina.com/
Mexican,Taqueria La gasolinera,"632 Wears Valley Rd, Pigeon Forge, TN 37863, USA",
Swedish,Five Oaks Farm Kitchen,"1638 Parkway, Sevierville, TN 37862, USA",http://fiveoaksfarmkitchen.com/
Latvian,Ristorante DellaSantina,"2004 Red Bank Rd, Sevierville, TN 37876, USA",http://www.ristorantedellasantina.com/
Italian,Olive Garden Italian Restaurant,"1570 Parkway, Sevierville, TN 37862, USA",https://www.olivegarden.com/locations/tn/sevierville/sevierville/1662?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:sevierville-tn-1662_pl:locurl_rd:1517
Italian,Gondolier Italian Restaurant,"964 Dolly Parton Pkwy #3707, Sevierville, TN 37862, USA",https://gondolierpizza.com/
Italian,Johnny Carino's,"2425 Parkway, Pigeon Forge, TN 37863, USA",
Italian,Ristorante DellaSantina,"2004 Red Bank Rd, Sevierville, TN 37876, USA",http://www.ristorantedellasantina.com/
Italian,Best Italian on the Parkway,"710 Parkway, Gatlinburg, TN 37738, USA",https://www.bestitalian.com/
Italian,Roma Table,"1503 Parkway, Sevierville, TN 37862, USA",https://romatable.com/
Italian,Best Italian Cafe & Pizzeria in Elks Plaza,"968 Parkway Suite #9, Gatlinburg, TN 37738, USA",http://www.bestitalian.com/
Italian,Bellacinos,"Sevierville, TN 37862, USA",
Italian,DŌ Scratch Made Pasta & Pizza,"160 Court Ave, Sevierville, TN 37862, USA",http://dopizzapasta.com/
Italian,Solorzano’s Pizzeria Pigeon Forge,"204 Pine Mountain Rd #5, Pigeon Forge, TN 37863, USA",http://www.nobodymakespizzalikewedo.com/
Italian,Big Daddy's Pizzeria,"1820 Parkway, Sevierville, TN 37862, USA",https://www.bigdaddyspizzeria.net/
Italian,Nino's Pizzeria & Eatery,"105 Long Springs Rd, Sevierville, TN 37876, USA",http://www.ninospizzeriaandeatery.com/home.html
Italian,England Foods,"976 Parkway, Gatlinburg, TN 37738, USA",
Italian,Bellacino's Pizza & Grinders,"716 Dolly Parton Pkwy, Sevierville, TN 37862, USA",https://locations.bellacinos.com/ll/US/TN/Sevierville/716-Dolly-Parton-Pkwy
Italian,Solorzanos Pizzeria Waldens Creek,"1725 Waldens Creek Rd #101, Pigeon Forge, TN 37862, USA",http://www.nobodymakespizzalikewedo.com/
Italian,J. Del's Pizza,"2664 Teaster Ln, Pigeon Forge, TN 37863, USA",
Italian,Geno's Pizza,"2631 Parkway #3, Pigeon Forge, TN 37863, USA",http://www.genospizza.com/
Italian,Mama DeLuca's Pizza,"1645 Parkway, Sevierville, TN 37862, USA",
Italian,Piccolo's Pizza,"2509 Newport Hwy, Sevierville, TN 37876, USA",https://www.piccolospizzaseviertogo.com/
Italian,New York Pizza & Pasta,"611 Parkway b5, Gatlinburg, TN 37738, USA",
Spanish,El Primo Products Hispanos,"116 Cate Rd, Sevierville, TN 37862, USA",
Spanish,La Catrachada Mexican & latino grill,"737 Dolly Parton Pkwy, Sevierville, TN 37862, USA",
