Name,Alias,Title
Gokudo Shabu Shabu-Burnaby,gokudo-shabu-shabu-burnaby-burnaby,Hot Pot
Burnaby Mountain Clubhouse,burnaby-mountain-clubhouse-burnaby,Lounges
ChoCho Hot Pot,chocho-hot-pot-burnaby-2,Hot Pot
Han Sang,han-sang-burnaby,Korean
STEM Japanese Eatery,stem-japanese-eatery-burnaby,Japanese
Little Minh's,little-minhs-burnaby-2,Vietnamese
Northern BBQ & Beer Bar,northern-bbq-and-beer-bar-burnaby,Barbeque
Na-Re Korean Kitchen,na-re-korean-kitchen-burnaby,Korean
Pot Empire,pot-empire-burnaby-3,Hot Pot
Singapore Hawker,singapore-hawker-burnaby,Singaporean
Sooda Korean BBQ,sooda-korean-bbq-burnaby,Korean
bibik's,bibiks-burnaby,Singaporean
88 Noodle House,88-noodle-house-burnaby,Korean
The Bao Place,the-bao-place-burnaby,Chinese
Atlas Steak + Fish,atlas-steak-fish-burnaby,Steakhouses
22's Grill,22s-grill-burnaby,Canadian (New)
White Lotus Cafe,white-lotus-cafe-burnaby,Vietnamese
Tendon Kohaku,tendon-kohaku-burnaby,Japanese
Big Way Hot Pot,big-way-hot-pot-burnaby,Hot Pot
Siam Le Bien,siam-le-bien-burnaby-3,Thai
Tenen,tenen-burnaby,Barbeque
Birdies,birdies-eats-and-drinks-burnaby,Salad
Wild Thyme,wild-thyme-new-westminster,Lebanese
Green Leaf Cafe,green-leaf-cafe-burnaby-5,Sushi Bars
La Saison de Patisserie,la-saison-de-patisserie-vancouver-2,Bakeries
Henry's Kitchen Pasta & Grill,henrys-kitchen-pasta-and-grill-port-moody-8,Italian
Masita Korean Cuisine,masita-korean-cuisine-burnaby,Korean
No.1 Beef Noodle House,no-1-beef-noodle-house-burnaby-5,Taiwanese
Maruhachi Ra-men,maruhachi-ra-men-burnaby-2,Ramen
The Gray Olive Cafeteria,the-gray-olive-cafeteria-burnaby,Breakfast & Brunch
Katsuya,katsuya-coquitlam,Japanese
Shanghai Dimsum House,shanghai-dimsum-house-burnaby-2,Dim Sum
Secret Garden Korean Fusion Buffet & Grill,secret-garden-korean-fusion-buffet-and-grill-burnaby,Buffets
The One Restaurant,the-one-restaurant-burnaby,Taiwanese
Old Farmhouse Kitchen,old-farmhouse-kitchen-burnaby,Coffee & Tea
Geppetto pizza,geppetto-pizza-burnaby,Pizza
SOJU,soju-burnaby,Chinese
Time & Place Kitchen I Bar,time-and-place-burnaby,Bars
MaMa Rich,mama-rich-burnaby,Chinese
Claudio's,claudios-burnaby,Italian
The Magnet,the-magnet-vancouver,Beer Bar
The Viet Noodle Guy,the-viet-noodle-guy-burnaby,Vietnamese
Artusi Restaurant,artusi-restaurant-new-westminster,Italian
Tendon Kohaku,tendon-kohaku-burnaby-5,Japanese
Taku Japanese Kitchen,taku-japanese-kitchen-burnaby,Japanese
Sushi Modo,sushi-modo-burnaby-3,Sushi Bars
Pho Super Bowl Burnaby,pho-super-bowl-burnaby-burnaby,Vietnamese
Fat Boy Kitchen,fat-boy-kitchen-vancouver,Hong Kong Style Cafe
La Forêt - Royal Oak,la-forêt-royal-oak-burnaby-2,Donuts
Aroma Eatery,aroma-eatery-burnaby,Taiwanese
Grand Neptune Seafood Restaurant,grand-neptune-seafood-restaurant-burnaby,Seafood
Kokoro Tokyo Mazesoba,kokoro-tokyo-mazesoba-burnaby-3,Ramen
OEB Breakfast Co,oeb-breakfast-co-burnaby-4,Breakfast & Brunch
1003 Brunch & Dessert,1003-brunch-and-dessert-burnaby-2,Breakfast & Brunch
Takara Sushi,takara-sushi-burnaby-3,Sushi Bars
Sooda Korean BBQ,sooda-korean-bbq-vancouver,Korean
The Dolar Shop - Station Square,the-dolar-shop-station-square-burnaby-5,Hot Pot
Micha,micha-richmond,Chinese
Wang's Shanghai Cuisine,wangs-shanghai-cuisine-vancouver,Noodles
Five Loaves Two Fish,five-loaves-two-fish-burnaby,Food Stands
Sumo Grill,sumo-grill-vancouver,Japanese
Okeya Kyujiro,okeya-kyujiro-vancouver,Sushi Bars
Roadside spicy pot,roadside-spicy-pot-burnaby,Chinese
Kuanzhai Road Restaurant,kuanzhai-road-restaurant-vancouver,Seafood
Happy Valley Food City,happy-valley-food-city-burnaby-2,Hong Kong Style Cafe
