Name,Alias,Title
Nobi Nobi,nobi-nobi-richmond,Japanese
Micha,micha-richmond,Chinese
Hei Hei Rice Roll,hei-hei-rice-roll-richmond,Noodles
Yunshang Rice Noodle House,yunshang-rice-noodle-house-richmond,Chinese
Katsu San,katsu-san-richmond,Japanese
Saku,saku-richmond,Japanese
Kirin Seafood Restaurant,kirin-seafood-restaurant-richmond,Seafood
The Fish Man,the-fish-man-richmond,Seafood
The Story Cafe,the-story-cafe-richmond-4,Bars
Wasuta Pasta,wasuta-pasta-richmond,Japanese
Sector 7 Kitchen + Bar,sector-7-kitchen-bar-richmond,Beer Bar
The Shellfish Shack,the-shellfish-shack-richmond,Seafood
Ganbei Izakaya Japanese Restaurant,ganbei-izakaya-japanese-restaurant-richmond,Japanese
Shanghai River,shanghai-river-richmond,Chinese
Cha Kee,cha-kee-richmond,Hong Kong Style Cafe
HK B.B.Q. Master,hk-b-b-q-master-richmond,Barbeque
Kingyo,kingyo-vancouver,Japanese
Jjang Korean BBQ,jjang-korean-bbq-richmond,Barbeque
John 3:16 Malaysian Delights,john-3-16-malaysian-delights-richmond-3,Malaysian
Nyonya House,nyonya-house-richmond,Malaysian
Rice Holic,rice-holic-richmond,Taiwanese
Shoestring Cafe,shoestring-cafe-richmond,French
Guu with Garlic,guu-with-garlic-vancouver-2,Japanese
Lamajoun,lamajoun-richmond-3,Mediterranean
Sweet Memory,sweet-memory-richmond-3,Desserts
Uno Beef Noodle,uno-beef-noodle-richmond-2,Noodles
Dinesty Dumpling House,dinesty-dumpling-house-vancouver,Chinese
Tang Vietnamese Restaurant & Bar,tang-vietnamese-restaurant-and-bar-richmond-3,Vietnamese
Mr Bro Korean Bistro & Izakaya,mr-bro-korean-bistro-and-izakaya-richmond-6,Korean
Sooda Korean BBQ,sooda-korean-bbq-vancouver,Korean
Kitcho Izakaya,kitcho-izakaya-richmond-2,Japanese
Bruno,bruno-richmond,Seafood
Yin Ji Chang Fen,yin-ji-chang-fen-richmond,Cantonese
Mui Kee Chicken Pot,mui-kee-chicken-pot-richmond-3,Chinese
Tou Lok Kitchen,tou-lok-kitchen-richmond,Chinese
Seaport City Seafood Restaurant,seaport-city-seafood-restaurant-vancouver,Dim Sum
Hokkaido Ramen Santouka,hokkaido-ramen-santouka-richmond,Ramen
Phnom Penh,phnom-penh-vancouver,Cambodian
Yuan's Garden Restaurant,yuans-garden-restaurant-richmond,Dim Sum
Daan Korean Cuisine,daan-korean-cuisine-richmond,Korean
Big Way Hot Pot,big-way-hot-pot-richmond,Hot Pot
Haidilao - Richmond,haidilao-richmond-richmond-3,Chinese
Hibiki Ramen Yakitori Bar,hibiki-ramen-yakitori-bar-richmond,Ramen
The Flying Pig,the-flying-pig-vancouver-5,Canadian (New)
Bánh Mì Très Bon - Richmond,bánh-mì-très-bon-richmond-richmond,Vietnamese
Saku,saku-vancouver-9,Japanese
Little Karp,little-karp-richmond,Bars
Fat Boy Kitchen,fat-boy-kitchen-vancouver,Hong Kong Style Cafe
Soup Curry Garaku Richmond,soup-curry-garaku-richmond-richmond,Comfort Food
Chuan Yue,chuan-yue-vancouver,Chinese
Cherry's Food House,cherrys-food-house-richmond,Asian Fusion
Meet Oyster,meet-oyster-richmond-3,Seafood
Edokko Nigiri Sushi,edokko-nigiri-sushi-richmond,Japanese
Missing Chopsticks,missing-chopsticks-richmond,French
Chj Bistro,chj-bistro-richmond,Taiwanese
Toast to Coast Brunch Bar,toast-to-coast-brunch-bar-richmond,Breakfast & Brunch
YUAN’S HOT POT,yuan-s-hot-pot-richmond,Hot Pot
Tasty BBQ & Beer Bar,tasty-bbq-and-beer-bar-richmond,Chinese
Broli Kitchen,broli-kitchen-richmond,Seafood
Happy Noodle House,happy-noodle-house-vancouver-3,Dim Sum
Tsujiri,tsujiri-richmond-4,Japanese
Xiaolongkan Hotpot,xiaolongkan-hotpot-richmond-2,Hot Pot
The Bao Place,the-bao-place-burnaby,Chinese
Fable Kitchen,fable-kitchen-vancouver-2,Canadian (New)
Fisherman's Terrace Seafood Restaurant,fishermans-terrace-seafood-restaurant-richmond,Seafood
TSUJIRI,tsujiri-richmond-5,Japanese
Smokehouse Sandwich,smokehouse-sandwich-richmond-3,Sandwiches
Baan Lao Fine Thai Cuisine,baan-lao-fine-thai-cuisine-richmond,Thai
Sushi Hachi Japanese Restaurant,sushi-hachi-japanese-restaurant-richmond,Japanese
Oretachi Curry,oretachi-curry-richmond,Japanese
KungFu Dumpling,kungfu-dumpling-richmond-2,Dumplings
Kosoo,kosoo-vancouver,Korean
Tian Shi Fu No. 3 Restaurant,tian-shi-fu-no-3-restaurant-richmond,Chinese
Daddy's Grill,daddys-grill-richmond,Halal
Hong Kong Flavor Restaurant,hong-kong-flavor-restaurant-richmond,Cantonese
Jing Tan Grill House,jing-tan-grill-house-richmond,Barbeque
Real Love BBQ Restaurant,real-love-bbq-restaurant-richmond-2,Sushi Bars
Happy Valley Village Restaurant,happy-valley-village-restaurant-richmond,Chinese
bibik's,bibiks-burnaby,Singaporean
Maruhachi Ra-men,maruhachi-ra-men-richmond,Ramen
The Magnet,the-magnet-vancouver,Beer Bar
Hotpot Palace,hotpot-palace-richmond-5,Seafood
Maojiaohuola,maojiaohuola-richmond,Chinese
Marugame Udon,marugame-udon-vancouver,Japanese
Mama's Dumpling & Coffee,mamas-dumpling-and-coffee-richmond,Coffee & Tea
G-men Ramen,g-men-ramen-richmond-2,Ramen
La Saison de Patisserie,la-saison-de-patisserie-vancouver-2,Bakeries
Fanny Bay Oyster Bar & Shellfish Market,fanny-bay-oyster-bar-and-shellfish-market-vancouver,Seafood
Yu Shang Hot Pot,yu-shang-hot-pot-vancouver,Hot Pot
Xi'an Cuisine,xian-cuisine-richmond,Chinese
Miku,miku-vancouver-2,Japanese
B House Restaurant - Richmond,b-house-restaurant-richmond-richmond,Asian Fusion
Chef's Playground Eatery,chefs-playground-eatery-richmond,Comfort Food
Round Pot,round-pot-richmond,Hot Pot
Snail Rice Noodle King,snail-rice-noodle-king-richmond,Chinese
Fat Mao Noodles,fat-mao-noodles-vancouver-2,Noodles
The Dolar Shop - Richmond,the-dolar-shop-richmond-richmond-6,Hot Pot
Okeya Kyujiro,okeya-kyujiro-vancouver,Sushi Bars
Bbq Chicken Lemon,bbq-chicken-lemon-richmond,Chicken Shop
Spice World Hotpot Restaurant,spice-world-hotpot-restaurant-richmond-2,Hot Pot
Aloha Boys,aloha-boys-richmond,Hawaiian
Black Walnut,black-walnut-vancouver,Seafood
Gang Nam Korean BBQ Restaurant,gang-nam-korean-bbq-restaurant-richmond,Korean
Samsoonie Noodle & Rice,samsoonie-noodle-and-rice-richmond,Korean
Free Bird,free-bird-richmond,Bars
Hao Chi Lai,hao-chi-lai-richmond,Chinese
Solo Pasta,solo-pasta-vancouver,Italian
Hainan Kitchen,hainan-kitchen-richmond-2,Singaporean
Silver Tower Cafe Restaurant,silver-tower-cafe-restaurant-richmond,Chinese
Mountain Top Beef House,mountain-top-beef-house-richmond,Chinese
The Meat Up,the-meat-up-vancouver-2,Chinese
Milltown Bar & Grill,milltown-bar-and-grill-richmond,Canadian (New)
Tsim Chai Noodle Restaurant,tsim-chai-noodle-restaurant-richmond,Chinese
Hiroshi Japanese Ramen,hiroshi-japanese-ramen-richmond,Ramen
The Apron,the-apron-richmond,Breakfast & Brunch
Steveston Seafood House,steveston-seafood-house-richmond,Seafood
So Hyang Korean Cuisine,so-hyang-korean-cuisine-vancouver,Korean
Peranakan Kitchen,peranakan-kitchen-new-westminster,Indonesian
Cafe de l'Orangerie,cafe-de-l-orangerie-vancouver-2,Japanese
Happy Hong Kong Restaurant,happy-hong-kong-restaurant-richmond-2,Hong Kong Style Cafe
Ramen Kounotori,ramen-kounotori-vancouver,Ramen
Breakfast Table,breakfast-table-richmond,Breakfast & Brunch
Chops Steakhouse & Bar,chops-steakhouse-and-bar-richmond,Steakhouses
Happy Day Cafe,happy-day-cafe-richmond,Hong Kong Style Cafe
Kokoro Tokyo Mazesoba,kokoro-tokyo-mazesoba-vancouver-4,Japanese
Kanpeki Teppanyaki & Seafood Bar,kanpeki-teppanyaki-and-seafood-bar-richmond-3,Japanese
Laksa King,laksa-king-vancouver-2,Burmese
Pho 37,pho-37-richmond,Vietnamese
Memory Corner,memory-corner-richmond,Taiwanese
Chef Pin,chef-pin-richmond,Hot Pot
Jie Dao Ban,jie-dao-ban-richmond,Chinese
Ho Yuen Cafe,ho-yuen-cafe-vancouver,Chinese
ChiuChow Seafood Restaurant,chiuchow-seafood-restaurant-vancouver-2,Seafood
Tanlu Grill,tanlu-grill-richmond,Barbeque
Ipoh Malay Cuisine,ipoh-malay-cuisine-vancouver,Malaysian
Hakka Momo Corner,hakka-momo-corner-richmond,Chinese
Wabukuro,wabukuro-vancouver,Japanese
Raisu,raisu-vancouver,Japanese
Tendon Kohaku,tendon-kohaku-vancouver,Japanese
Osmanthus,osmanthus-richmond,Asian Fusion
Anh and Chi,anh-and-chi-vancouver,Vietnamese
Tavola,tavola-vancouver,Italian
Gary's,garys-vancouver,French
Motonobu Udon,motonobu-udon-vancouver-3,Japanese
Singapore Hawker,singapore-hawker-burnaby,Singaporean
Kishimoto Japanese Kitchen,kishimoto-japanese-kitchen-vancouver,Japanese
Kazuhan Yakiniku,kazuhan-yakiniku-richmond,Japanese
Super Smash Burgers,super-smash-burgers-vancouver,Fast Food
Taverna Gorgona,taverna-gorgona-delta,Greek
Dinesty Lite,dinesty-lite-richmond-2,Chinese
The Buffet,the-buffet-richmond,Buffets
Malaysia Street,malaysia-street-richmond,Desserts
LanZhou Beef Noodle,lanzhou-beef-noodle-vancouver,Noodles
Geng Shi Ji,geng-shi-ji-richmond,Chinese
Chengdu Noodle House,chengdu-noodle-house-richmond,Noodles
OZ Korean Cuisine,oz-korean-cuisine-richmond,Korean
Ponchos,ponchos-richmond,Mexican
Wild Thyme,wild-thyme-new-westminster,Lebanese
Goodbowl,goodbowl-richmond,Mongolian
Tom Sushi,tom-sushi-vancouver,Sushi Bars
Kizami Japanese Cuisine,kizami-japanese-cuisine-richmond,Japanese
Beef King Restaurant,beef-king-restaurant-richmond,Korean
Masa Ishibashi,masa-ishibashi-richmond,Sushi Bars
Van Tea Cafe,van-tea-cafe-richmond,Coffee & Tea
Alouette Bistro,alouette-bistro-vancouver,French
G L G W,g-l-g-w-richmond,Chinese
Jamoneria by ARC Imports,jamoneria-by-arc-imports-richmond,Spanish
The Old Spaghetti Factory,the-old-spaghetti-factory-richmond,Italian
The Red Accordion,the-red-accordion-vancouver,Cocktail Bars
Happy Lamb Hot Pot,happy-lamb-hot-pot-richmond,Hot Pot
Syu,syu-richmond,Japanese
South Silk Road,south-silk-road-richmond,Chinese
Kun's Omakase Bar,kuns-omakase-bar-richmond,Japanese
Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-richmond-3,Japanese
Yuu Japanese Tapas,yuu-japanese-tapas-richmond,Japanese
Chengdu Spicy Restaurant,chengdu-spicy-restaurant-richmond,Chinese
Lido Restaurant,lido-restaurant-richmond,Hong Kong Style Cafe
No 9 Restaurant,no-9-restaurant-richmond-2,Chinese
Kook Korean BBQ,kook-korean-bbq-vancouver,Korean
Chop Steakhouse & Bar,chop-steakhouse-and-bar-vancouver,Steakhouses
Gee! Taste Good,gee-taste-good-richmond,Indonesian
Marina One,marina-one-richmond,Dim Sum
LA Grill & Bistro,la-grill-and-bistro-richmond,American
AnnaLena,annalena-vancouver,Canadian (New)
Lollipot,lollipot-richmond,Hot Pot
Myomi Sushi,myomi-sushi-richmond,Sushi Bars
Matsuyama Japanese Restaurant,matsuyama-japanese-restaurant-richmond,Japanese
Ramen Danbo,ramen-danbo-vancouver-7,Ramen
Yue Restaurant,yue-restaurant-richmond-2,Seafood
Pajo's Fish & Chips,pajos-fish-and-chips-richmond-3,Fish & Chips
Chinese Baozi Master,chinese-baozi-master-richmond,Chinese
Cactus Club Cafe,cactus-club-cafe-richmond-4,Cocktail Bars
Happy Tree House BBQ,happy-tree-house-bbq-richmond,Barbeque
Once More,once-more-richmond,Chinese
Wang's Shanghai Cuisine,wangs-shanghai-cuisine-vancouver,Noodles
Magari by Oca,magari-by-oca-vancouver,Italian
Obanhmi,obanhmi-richmond,Juice Bars & Smoothies
Tap & Barrel - Bridges,tap-and-barrel-bridges-vancouver-4,Breakfast & Brunch
Ramen Danbo,ramen-danbo-vancouver-8,Ramen
Paul's Kitchen,pauls-kitchen-richmond,Chinese
R & H Chinese Food,r-and-h-chinese-food-richmond,Chinese
Wang Ji Restaurant Cafe,wang-ji-restaurant-cafe-richmond-2,Cantonese
Italian Tomato Restaurant,italian-tomato-restaurant-richmond,Italian
ChoCho Hot Pot,chocho-hot-pot-burnaby-2,Hot Pot
Grains Fish Noodle,grains-fish-noodle-richmond,Chinese
Amay’s House,amay-s-house-vancouver,Burmese
Kumo Sukiyaki,kumo-sukiyaki-richmond,Japanese
Japadog,japadog-richmond-7,Food Stands
