Name,Alias,Title
The Flying Pig,the-flying-pig-vancouver-5,Canadian (New)
Kingyo,kingyo-vancouver,Japanese
Kosoo,kosoo-vancouver,Korean
Miku,miku-vancouver-2,Japanese
Sooda Korean BBQ,sooda-korean-bbq-vancouver,Korean
Forage,forage-vancouver,Canadian (New)
Alouette Bistro,alouette-bistro-vancouver,French
Phnom Penh,phnom-penh-vancouver,Cambodian
Fanny Bay Oyster Bar & Shellfish Market,fanny-bay-oyster-bar-and-shellfish-market-vancouver,Seafood
Seaport City Seafood Restaurant,seaport-city-seafood-restaurant-vancouver,Dim Sum
Fat Mao Noodles,fat-mao-noodles-vancouver-2,Noodles
Dinesty Dumpling House,dinesty-dumpling-house-vancouver,Chinese
Guu with Garlic,guu-with-garlic-vancouver-2,Japanese
Saku,saku-vancouver-9,Japanese
Happy Noodle House,happy-noodle-house-vancouver-3,Dim Sum
Hello Nori ,hello-nori-vancouver-2,Japanese
Tendon Kohaku,tendon-kohaku-vancouver,Japanese
The Magnet,the-magnet-vancouver,Beer Bar
Medina Cafe,medina-cafe-vancouver,Breakfast & Brunch
The Red Accordion,the-red-accordion-vancouver,Cocktail Bars
Twisted Fork,twisted-fork-vancouver,French
Yu Shang Hot Pot,yu-shang-hot-pot-vancouver,Hot Pot
Okeya Kyujiro,okeya-kyujiro-vancouver,Sushi Bars
Botanist,botanist-vancouver-2,Canadian (New)
Fable Kitchen,fable-kitchen-vancouver-2,Canadian (New)
Manoush'eh,manousheh-vancouver-4,Lebanese
Saku,saku-vancouver-8,Japanese
Cactus Club Cafe,cactus-club-cafe-vancouver-8,Canadian (New)
Holy Chow,holy-chow-vancouver,Asian Fusion
Chambar,chambar-vancouver,Belgian
Jam Cafe on Beatty,jam-cafe-on-beatty-vancouver,Breakfast & Brunch
JOEY Burrard,joey-burrard-vancouver-4,Canadian (New)
Kokoro Tokyo Mazesoba,kokoro-tokyo-mazesoba-vancouver-2,Japanese
Cardero's Restaurant & Marine Pub,carderos-restaurant-and-marine-pub-vancouver-2,Seafood
Chinatown BBQ,chinatown-bbq-vancouver-2,Barbeque
Marugame Udon,marugame-udon-vancouver,Japanese
Robba Da Matti,robba-da-matti-vancouver-2,Italian
Nightingale,nightingale-vancouver,Live/Raw Food
Lunch Lady,lunch-lady-vancouver,Vietnamese
Yasma,yasma-vancouver,Syrian
Wabukuro,wabukuro-vancouver,Japanese
Blue Water Cafe,blue-water-cafe-vancouver,Seafood
Bread x Butter Cafe,bread-x-butter-cafe-vancouver-2,Cafes
Lupo,lupo-vancouver,Italian
Zefferelli's,zefferellis-vancouver,Italian
Tom Sushi,tom-sushi-vancouver,Sushi Bars
Joe Fortes Seafood & Chop House,joe-fortes-seafood-and-chop-house-vancouver,Seafood
AnnaLena,annalena-vancouver,Canadian (New)
Tavola,tavola-vancouver,Italian
Linh Cafe,linh-cafe-vancouver-4,Vietnamese
Burgoo Bistro,burgoo-bistro-vancouver-4,Comfort Food
Mount Everest Kitchen & Grill,mount-everest-kitchen-and-grill-vancouver,Indian
ChiuChow Seafood Restaurant,chiuchow-seafood-restaurant-vancouver-2,Seafood
OEB Breakfast Co. Yaletown,oeb-breakfast-co-yaletown-vancouver-3,Breakfast & Brunch
Jingle Bao,jingle-bao-vancouver,Asian Fusion
Sula,sula-vancouver,Indian
Hokkaido Ramen Santouka,hokkaido-ramen-santouka-vancouver-5,Noodles
Mapo Pancake House,mapo-pancake-house-vancouver,Korean
Sake Dining HASHIGO by Zakkushi,sake-dining-hashigo-by-zakkushi-vancouver,Japanese
Ramen Danbo,ramen-danbo-vancouver-7,Ramen
Alibi Room,alibi-room-vancouver,Pubs
Riley's Fish & Steak,rileys-fish-and-steak-vancouver,Seafood
Beach Ave Bar And Grill,beach-ave-bar-and-grill-vancouver,Seafood
A.Bento,a-bento-vancouver,Taiwanese
Tap & Barrel - Bridges,tap-and-barrel-bridges-vancouver-4,Breakfast & Brunch
Ask For Luigi,ask-for-luigi-vancouver,Italian
Parker Rooftop,parker-rooftop-vancouver,Desserts
Nobi Nobi,nobi-nobi-richmond,Japanese
Tokyo In April,tokyo-in-april-vancouver,Japanese
Nuba in Gastown,nuba-in-gastown-vancouver-2,Mediterranean
JOEY Shipyards,joey-shipyards-north-vancouver-3,Canadian (New)
Bao Bei Chinese Brasserie,bao-bei-chinese-brasserie-vancouver,Chinese
Published On Main,published-on-main-vancouver-2,Tapas/Small Plates
Shiok Singapore Cuisine,shiok-singapore-cuisine-vancouver,Singaporean
Hei Hei Rice Roll,hei-hei-rice-roll-richmond,Noodles
Rorimomo,rorimomo-vancouver-2,Korean
Black Frog Eatery,black-frog-eatery-vancouver,Pubs
